Назва препарату,Лікарська форма,n
ФКУ нутрі 3 енерджи (PKU nutri 3 energy),,2
"ФІТОЧАЙ ""ІСЛАНДСЬКИЙ МОХ"" (FITOTEA ""ICELANDIC MOSS"")",,2
Фіточай Нирковий (Fitotea Renal),,2
Артізі (Artizi),,2
Артросіла (Arthrosila),,2
Артишок (Artichoke),,2
Апівіта баланс кондиціонер для волосся (Apivita balance of hair conditioner),,2
Аплікатор Ляпка валик універсальний,,2
Антисептікум з декаметоксином (Antisepticum with decametoxin),,2
Аквабріз (Aquabriz),,2
Адепрост (Adeprost),,2
Шипшина (Rose hip),,2
Ібупрофен (Ibuprofen),,2
Шприц інсуліновий (Insulinic syringe),,2
Шприц трикомпонентний луєр (Syringe three-component luer),,2
Шприц трикомпонентний Медікеа (Three-component syringe Medicare),,2
Шприц трикомпонентний Луєр-лок (Syringe three-component Luer-lock),,2
Шприц луер,,2
Шприц двокомпонентний Інжект,,2
Шприц 3-х комп.,,2
Шприц (Syringe),,2
Авапрост (Avaprost),,2
Сладелла з сукралозою (Sladella with sukralose),,2
Система інфузійна (Infusion system),,2
Система ПК Гемопласт (Transfusion system Hemoplast),,2
Сироп плюща (Syrup ivy),,2
Сироп з чебрецем (Thyme syrup),,2
Синубам (Synubam),,2
Серветки спиртові (Alcohol wipes),,2
Серветки вологі Смайл бебі,,2
Уропрокт (Uroproct),,2
Серветка марлева медична,,2
Септтеріл (Septteril),,2
Сенадексин (Senadexinum),,2
Санітайзер (Sanitizer),,2
СОРБІТ ХАРЧОВИЙ (Sorbitum),,2
СЕЧОПРИЙМАЧ (Urinal tank),,2
Рідина від комарів Пікнік бебі (Zhidkost ot komarov Piknik bebi),,2
Рукавички оглядові стерильні латексні,,2
Серветки Zewa Clean and Soft (Cosmetic napkins),,2
Тонометр Др.Фрай (Tonometer Dr.Frei),,2
Термометр медичний максимальний Волес,,2
Тербіфут (Terbifoot),,2
Таблетки з термопсисом (Tablets with thermopsis),,2
Таблетки Для Жування Кальцію глюконату зі смаком яблука (Chewable tablets Sodium gluconate with apple taste),,2
ТОПІКРЕМ КРЕМ ДЛЯ ВИРІВНЮВАННЯ ЗАГРУБІЛИХ НЕДОЛІКІВ ШКІРИ (TOPICREM UR10 - ANTI-ROUGHNESS SMOOTHING CREAM),,2
Сінулор (Sinulor),,2
Сіль для ванн (Bath salt),,2
Смектосорб (Smektosorb),,2
Сусталакс (Sustalax),,2
Стетоскоп (STETOSCOP),,2
Спіруліна (Spiruline),,2
Спринцівка пластизольна полівінілхлоридна,,2
Спрей дезодорант-антиперспирант для стоп Доктор Біокон (Spray deodorant-antiperspirant for feet Doctor Biocon),,2
Спрей Др. Санте макадамія хеа,,2
Спирт етиловий 96% (Ethanol aethylicus 96%),"Розчин для зовнішнього застосування. Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Розчин для зовнішнього застосування. Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Розчин для зовнішнього застосування.
Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Фармакотерапевтична група Антисептичні та дезінфекційні засоби. Код АТХ D08A X08.",2
Спирт етиловий 70% (Ethanol 70%),"Розчин для зовнішнього застосування. Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Розчин для зовнішнього застосування. Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Розчин для зовнішнього застосування.
Основні фізико-хімічні властивості: прозора, безбарвна, летка, легкозаймиста рідина. Гігроскопічна.
Фармакотерапевтична група Антисептичні та дезінфекційні засоби. Код АТХ D08A X08.",2
Спаскрем (Spascream),,2
Сілмед (Silmed),,2
Гінговен (Gingoven),,2
Гіаль-мено (Hyal-meno),,2
Гіаль-ероз (Hyal-eroz),,2
Губка для купання (Bathing sponge),,2
Губам (Gubam),,2
Гліцин (Glycine),,2
Гліцерин (Glycerin),,2
Герба дент (Herba dent),,2
Олія абрикосова (Apricot oil),,2
"ГЕЛЬ-СМАЗКА ""DOLPHI SENSUAL TOUCH"" (GEL-LUBRICANT ""DOLPHI SENSUAL TOUCH"")",,2
"ГЕЛЬ-ЗМАЗКА ""DOLPHI ULTRA COMFORT"" (GEL-LUBRICANT ""DOLPHI ULTRA COMFORT"")",,2
"ГЕЛЬ-ЗМАЗКА ""DOLPHI SWEET PLEASURE"" (GEL-LUBRICANT ""DOLPHI SWEET PLEASURE"")",,2
"ГЕЛЬ-ЗМАЗКА ""DOLPHI LIGHT MINT"" (GEL-LUBRICANT ""DOLPHI LIGHT MINT"")",,2
Віткам-В (Vitkam-B),,2
Вітаргін (Vitargin),,2
Вітамін E (Vitamin E),,2
Вітамін C (Vitamin C),,2
Вікрил з покриттям (Vycril with cover),,2
Гель після гоління (Gel after shave),,2
Карбоактив (Carboactiv),,2
Калію йодид (Kalium iodide),,2
Кальцій Д3 (Calcium D3),,2
Кабріта гречана каша (Kabrita buckwheat porridge),,2
Йод (Iodum),,2
Зубний порошок (Toothpowder),,2
Зубна щітка дитяча Лакалут до 4 років,,2
Зубна паста Бленд-а-мед компліт+гербал,,2
Гінкго Білоба + Гліцин (Ginkgo Biloba + Glycine),,2
Засіб антисептичний для рук (Antiseptic for hands),,2
Енгілен (Engilen),,2
Елеутерокок (Eleutherococcus),,2
Евкафіліпт (Eucaphylipt),,2
Ділатіл (Dilatil),,2
Димексид (Dimexid),,2
Деркос шампунь тонізуючий з амінексилом,,2
Деконта хлорфіліпт (Dekonta chlorophyllipt),,2
Гірчичник-пакет Економ (Sinapism-pack Econom),,2
Звіробою трава (Herba hyperici),,2
Шприц інсуліновий трьохкомпонентний,,2
Чебрець (Thyme),,2
Цинк,,2
Цетрилев (Cetrilev),,2
Цервірон (Cerviron),,2
Хіпп пюре (Hipp пюре),,2
Хіпп дитячі органічні пластівці (Hipp baby organic fruit flakes),,2
Хондрохелс (Chondrohealth),,2
Відріз марлевий нестерильний,,2
Холосас фітосироп (Cholosas fitosyrup),,2
Хлорофіліпт актив плюс (Chlorophyllipt active plus),,2
Хлорофіліпт Євро+ (Chlorophyllipt Euro+),,2
Хлорофіліпт (Chlorophyllipt),,2
Хлоргексидин (Chlorhexidin),,2
Інулін (Inulin),,2
Чистонос ефективне промивання (Chystonos effective rinsing),,2
Чистотіл (Herba chelidonii),,2
Хербалсептик (Herbalseptic),,2
Холітрин (Cholitrin),,2
Вугілля активоване (Carbo activatis),,2
Внутрішньоматкове протизаплідне Юнона T Ag санте клаб (Intrauterine contraceptive Yunona T Ag sante club),,2
Вимірювач артеріального тиску Омрон (Blood pressure meter Omron),,2
Ватні диски Свіжанка (Cotton disks Svizhanka),,2
Ватні диски,,2
Вата стерильна (Sterile cottonwool),,2
Валеріана максі (Valeriana maxi),,2
Валериана,,2
Бандаж протигрижовий (Bandage against hernia),,2
ВАТНІ ПАЛИЧКИ (COTTON STICKS),,2
Біфрен ® Плюс (Bifren Plus),,2
Бріомосс (Briomoss),,2
Бинт марлевий медичний стерильний (Sterile band),,2
Бинт марлевий медичний стерильний (Bandage gauze medical sterile),,2
Бинт еластичний середньої розтяжності (Bandage elastic medium extensibility),,2
Бинт еластичний,,2
Батончик-мюслі (Muesli bar),,2
Бандаж післяпологовий післяопераційний (Postpartum postoperative bandage),,2
Вазорутін рапід (Vazorutin rapid),,2
Натрію хлорид (Natrium chloride),,2
Насадка для електричної зубної щітки Орал-бі пресижен клін (Head for electric toothbrush Oral-B prestigen cleen),,2
Насадка для електричної зубної щітки (Electric toothbrush head),,2
Нагідків (календули) квітки (Calendulae flores),,2
Навізор (Navizor),,2
Набір серветок доін'єкційних дезинфікуючих (Set of pre-injection disinfectant wipes),,2
Набiр гiнекологiчний оглядовий (Gynecological examination set),,2
Мірасепт (Mirasept),,2
Катетер для годування немовлят,,2
Муколітік (Mucolytic),,2
Моспекс (Mospex),,2
Москітол аерозоль Універсальний захист (Mosquitall Universal protection),,2
Молочко дитяче (Milk for kids),,2
Молочко водостійке сонцезахисний,,2
Мило ручної роботи (Handmade soap),,2
Метіонін (Methioninum),,2
Меновіт (Menovit),,2
Мелатонін плюс B6 (Melatonin plus B6),,2
Міоксель (Mioxel),,2
Олія кастрова (Castor oil),,2
Олія зародків пшениці (Wheat germ oil),,2
Олія енотери (Evening primrose oil),,2
Олія евкаліптова (Eucalypt oil),,2
Олія грейпфрута (Grapefruit oil),,2
Олія гвоздики (Oil of cloves),,2
Олія бергамоту (Citrus bergamia oil),,2
Олія апельсину гіркого (Orange bitter oil),,2
Небулайзер компресорний (Compressor nebulizer),,2
Олія Реп'яхова (Oil burdock),,2
Олефар (Olefar),,2
Оксолін (Oxolin),,2
Окситоцин (Oxytocin),,2
Нівея бальзам для губ (Nivea lips balm),,2
Нормарин синус,,2
Нормарин бейбі (Normarine baby),,2
Новокаїн (Novocain),"Розчин для ін'єкцій. Основні фізико-хімічні властивості: прозора безбарвна рідина.
Розчин для ін'єкцій. Основні фізико-хімічні властивості: прозора безбарвна рідина.
Розчин для ін'єкцій.
Основні фізико-хімічні властивості: прозора безбарвна рідина.
Фармакотерапевтична група Препарати для місцевої анестезії. Код АТХ N01B A02.",2
Новалакс (Novalax),,2
Ісламікс (Islamix),,2
Ламісоль (Lamisol),,2
Лакто (Lacto),,2
Лабіум адванс (Labium advance),,2
"ЛЕЙКОПЛАСТИР МЕДИЧНИЙ В РУЛОНАХ MEDRULL ""SENSITIVE"" (MEDRULL ""SENSITIVE"" MEDICAL PLASTER IN ROLLS)",,2
Крем-пілінг для обличчя Філ фрі (Peeling cream for face Feel free),,2
Крем-гель для душу (Shower cream-gel),,2
Крем для стоп (Foot cream),,2
Крем дитячий Джонсонс (Cream children's Johnson's),,2
Мелатонін 3 мг (Melatonin 3 mg),,2
Корега свіжий смак крем фіксуючий для зубних протезів,,2
Комплект для годування дітей Няма,,2
Кольпофлор (Colpoflor),,2
Колдефролл (Koldefroll),,2
Колаген потрійна сила (Collagen triple strength),,2
Климона гель для інтимної гігієни (Klimona gel for intimate hygiene),,2
Клейонка на тканинній основі з ПВХ покриттям (Oilcloth on a fabric basis PVC coated),,2
Кетозан фут (Ketozan foot),,2
Кетозан (Ketozan),,2
Кофол (Kofol),,2
Мелавітал (Melavital),,2
Масло-спрей-активатор засмаги SPF-6 (Oil-spray-tanning activator SPF-6),,2
Магній B6 (Magnesium B6),,2
МАТКА БОРОВА (Orthilia secunda),,2
МАСКА МЕДИЧНА ОДНОРАЗОВА НЕСТЕРИЛЬНА (MASK MEDICAL DISPOSABLE NONSTERILE),,2
МАСКА МЕДИЧНА НЕСТЕРИЛЬНА ОДНОРАЗОВА (MASKS MEDICAL UNSTERILE DISPOSABLE),,2
МАСКА МЕДИЧНА ЗАХИСНА НЕСТЕРИЛЬНА (MASK MEDICAL PROTECTIVE NON-STERILE),,2
Ліпотіон (Lipotion),,2
Ліотрокс (Lyotrox),,2
Ланцет Дроплет (Lancet Droplet),,2
Ліволін форте (Livolin forte),,2
Лорект (Lorect),,2
Лордікаф (Lordikaf),,2
Лоратадин (Loratadine),,2
Лецитин (Lecithin),,2
Левоміцетин (Laevomycetinum 250 АТМ),"Краплі очні 0,25%. Основні фізико-хімічні властивості : прозора безбарвна рідина.
Краплі очні 0,25%. Основні фізико-хімічні властивості : прозора безбарвна рідина.
Краплі очні 0,25%.
Основні фізико-хімічні властивості : прозора безбарвна рідина.
Фармакотерапевтична група Засоби, що застосовуються в офтальмології. Антибіотики. Хлорамфенікол. Код АТХ S01A A01.",2
Левоміцетин (Laevomycetin),,2
Ланцет автоматичний Медланс плюс лайт (Lancet automatic Medlans plus lite),,2
Ланцет автоматичний Медланс плюс екстра (Lancet automatic Medlans plus extra),,2
Ліовен (Lioven),,2
