phrase,count
"ефірна олія ладану: індивідуальна чутливість до олії ладану, вагітність",84
ефірна олія лайму: підвищена чутливість до ефірних олій,84
"ефірна олія лимону: алергія на цитрусові, вагітність",84
"ефірна олія майорану: підвищена чутливість до ефірних олій, вагітність",84
ефірна олія мандарину: підвищена чутливість до ефірних олій,84
"увага! має фототоксичну дію, при передозуванні може викликати подразнення шкіри",84
"ефірна олія меліси: підвищена чутливість до ефірних олій, вагітність",84
"ефірна олія мири: підвищена чутливість до ефірних олій, вагітність",84
ефірна олія мирту: підвищена чутливість до ефірних олій,84
"ефірна олія ялівцю: підвищена чутливість до ефірних олій, вагітність",84
"ефірна олія мускатного горіха: підвищена чутливість до ефірних олій, вагітність, епілепсія, маніакально",84
"депресивні психози, діти молодше 6 років",84
не наносити на чутливу шкіру,84
"ефірна олія м’яти: підвищена чутливість до ефірних олій, вагітність, діти до 6 років",84
"увага! при передозуванні може виникнути подразнення шкіри і слизової оболонки, безсоння, запаморочення",84
ефірна олія неролі: підвищена чутливість до ефірних олій,84
"ефірна олія пальмарози: підвищена чутливість до ефірних олій, вагітність",84
ефірна олія пачулі: підвищена чутливість до ефірних олій,84
ефірна олія петітгрейн: підвищена чутливість до ефірних олій,84
ефірна олія ялиці: підвищена чутливість до ефірних олій,84
"ефірна олія полину: підвищена чутливість до ефірних олій, вагітність, діти до 12 років",84
"ефірна олія троянди: перші місяці вагітності, хіміотерапія, індивідуальна чутливість до ефірноъ олії троянди",84
"ефірна олія розмарину: підвищена чутливість до ефірних олій, вагітність (перші п’ять місяців), підвищений тиск",84
дітям молодше 6 років застосовувати під наглядом ароматерапевта,84
"ефірна олія рожевого дерева: підвищена чутливість до олій, дітям молодше 6 років застосовувати під наглядом ароматерапевта",84
"ефірна олія сандалу: гострі запальні процеси в нирках, індивідуальна чутливість до ефірної олії сандалового дерева",84
ефірна олія сосни сибірської / сосни: підвищена чутливість до ефірних олій,84
"ефірна олія тим’яну: підвищена чутливість до ефірної олії тим’яну, вагітність",84
"ефірна олія туї: підвищена чутливість до ефірних олій, вагітність, епілепсія, діти до 16 років",84
"ефірна олія фенхелю: діти до 6 років, перші п’ять місяців вагітності, епілепсія, хіміотерапія, онкологічні захворювання",84
ефірна олія чайного дерева: підвищена чутливість до ефірних олій,84
увага! при передозуванні може виникнути подразнення на шкірі,84
"ефірна олія шавлії: підвищена чутливість до ефірних олій, вагітність, хворі на епілепсію, підвищений артеріальний тиск",84
забороняється використовувати разом з алкоголем,84
увага! при передозуванні можуть виникнути галюцинації,84
"ефірна олія евкаліпту: підвищена чутливість до ефірних олій, хворі на астму, діти до 7 років",84
"увага! передозування може викликати головний біль, загальмованість дій та алергічні реакції",84
адренорецепторів,83
синдром слабкості синусового вузла,83
глікопротеїну,82
гіперчутливість до компонентів препарату,82
амлодипін,81
з боку нервової системи,81
якого іншого цефалоспорину,81
тиреотоксикоз,81
тромбоцитопенія,80
гіперкальціємія,80
спадковий або ідіопатичний ангіоневротичний набряк,79
підвищена чутливість до цефалоспоринових антибіотиків,78
вроджена гіпербілірубінемія,78
«взаємодія з іншими лікарськими засобами та інші види взаємодій»,78
дитячий вік до 6 років,78
"нечасто (≥1/1000, <1/100",78
тяжка артеріальна гіпертензія,78
гіповолемія,78
гостра ниркова недостатність,77
такролімус,77
алкоголь,77
період вагітності або годування грудьми,76
міастенія,76
якщо будь,76
підвищена індивідуальна чутливість до компонентів препарату,75
"лактамних антибіотиків (пеніциліни, монобактами та карбапенеми",75
клінічно значущою брадикардією,75
з боку імунної системи,75
якої з допоміжних речовин (див,75
дитячий вік до 14 років,75
"наявність в анамнезі тяжких реакцій гіперчутливості (наприклад, анафілактичних реакцій) до будь",75
не впливає,74
блокаторів,72
вік пацієнта до 18 років,72
кишкова кровотеча,72
цереброваскулярні або інші кровотечі,72
лейкопенія,71
кишкових кровотеч,71
синдром стівенса,70
гострий панкреатит,70
з боку шкт : часто,69
"розчини цефтриаксону, що містять лідокаїн, ніколи не слід вводити внутрішньовенно",69
активна або рецидивуюча пептична виразка/кровотеча в анамнезі (два або більше окремих підтверджених випадки виразки або кровотечі,69
нелікована феохромоцитома,69
захворювання крові,69
"вагітність, період годування груддю",69
індивідуальна чутливість до будь,69
не можна застосовувати при гострих запальних процесах шкіри,69
якого з компонентів,69
також розділ «особливості застосування»,68
період вагітності або годування груддю (див,67
склад,67
"кишкова кровотеча або перфорація, пов’язана з попередньою терапією нпзп в анамнезі",66
тяжка ниркова недостатність без застосування діалізу,66
запальні захворювання кишечнику (наприклад хвороба крона або виразковий коліт,66
геморагічний діатез та інші порушення згортання крові,66
паркінсона,66
кровотеча або перфорація шлунково,66
тяжка артеріальна гіпотензія,65
артеріальна гіпотензія тяжкого ступеня,64
особливі застереження застосування у період вагітності або годування груддю,64
гіпоглікемія,64
260 ккал,64
антациди,63
нудота,63
підвищена чутливість до активної речовини або будь,63
"інструкцію для медичного застосування лідокаїну, особливо протипоказання",63
"екстракорпоральні методи лікування, які призводять до контакту крові з негативно зарядженими поверхнями (див",63
рідкісні,63
літній вік,63
дитячий вік до 2 років,63
