phrase,count
"він активно впливає на фізичний і психічний розвиток людини, на дозрівання тканин, бере участь в регуляції функціонального стану центральної нервової системи та емоційного тонусу, надає значний вплив на діяльність серцево",93
"судинної системи і печінки, на водно",93
"сольовий обмін, обмін білків, ліпідів і вуглеводів, підсилює процеси метаболізму в організмі",93
"дріжджі пивні косметичні: для загального зміцнення організму, очищення і покращення стану шкіри",93
"завдяки природному джерелу вітамінів групи в знаходять застосування при фурункульозі, вугрових висипах, для зміцнення нігтів, посилення росту волосся",93
"регулярне вживання косметичних дріжджів сприяє наданню шкірі, волоссю і нігтям доглянутого і здорового вигляду",93
"дріжджі пивні натуральні: джерело мінералів, для загального зміцнення організму, підвищення розумової і фізичної працездатності",93
регулярний прийом натуральних дріжджів сприяє профілактиці в,93
"гіповітамінозу, усуненню порушень білкового, вуглеводного, вітамінно",93
"мінерального обміну речовин і, як результат, незбалансованому і неповноцінному харчуванню, покращенню обмінних процесів, прискоренню відновлення організму після перенесених соматичних та інфекційних захворювань, захисту організму від передчасного старіння, підвищенню стійкості організму до високих нервово",93
"дріжджі пивні загальнозміцнюючі: для підвищення імунітету, поліпшення розумової і фізичної працездатності",93
"сприяють прискоренню відновлення організму після перенесених соматичних та інфекційних захворювань, захисту організму від передчасного старіння, наданню загальнозміцнюючої дії на організм, підвищенню його стійкості до високих нервово",93
"каротином: сприяє підвищенню імунітету, покращенню фізичної та розумової працездатності",93
"дріжджі пивні з вітаміном с: рекомендовані в якості джерела вітаміну с, для загального зміцнення організму",93
"дріжджі пивні з залізом: для підтримки імунної системи організму, нормалізації обміну речовин, підвищення опору організму захворюванням і стомлюваності при, підвищених фізичних і психоемоційних навантаженнях",93
для профілактики залізодефіцитної анемії,93
"в організмі залізо необхідне для продукування червоних і білих кров’яних тілець, допомагає забезпечувати клітини киснем і підтримувати імунітет",93
"дріжджі пивні з женьшенем: для загального зміцнення організму, нормалізації обміну речовин",93
"женьшень є незамінним джерелом енергії при хронічній перевтомі, недосипанні, млявості, сонливості, швидкій стомлюваності, при підвищених навантаженнях і стресах",93
"дріжджі пивні з зародками пшениці: для загального зміцнення організму, при фізичних і розумових перевантаженнях",93
зародки пшениці,93
"унікальний дар рослинного світу, що містить 12 вітамінів, 18 амінокислот, 21 мікроелемент",93
завдяки гамма,93
"аміноолійної кислоти, що міститься в зародках пшениці, активізуються енергетичні процеси в головному мозку, зміцнюється пам’ять і концентрація уваги",93
комплекс групи вітамінів в і вітамін е сприяють регуляції діяльності жіночої гормональної сфери,93
"селен і каротиноїди, що містяться в зародках пшениці, проявляють високі антиоксидантні властивості, захищають організм від впливу несприятливих вільних радикалів",93
"регулярний прийом дріжджів з екстрактом зародків пшениці сприяє відновленню енергетичного балансу, регуляції найважливіших функцій організму, протистоянню застудним та інфекційним захворюванням, зниженню впливу на організм людини несприятливих факторів навколишнього середовища, попередженню появи новоутворень, зміцненню стінок капілярів, покращенню стану шкіри і уповільненню процесів старіння",93
"дріжджі пивні з йодом: джерело йоду, для загального зміцнення організму",93
"найважливіший мікроелемент, який приймає участь у синтезі гормонів щитовидної залози, покращує асиміляцію білка, засвоєння фосфору, кальцію і заліза, активує ряд ферментів",93
"нестача йоду призводить до захворювань щитовидної залози, хронічної втоми, головного болю, пригніченого настрою, млявості, зниження пам’яті та інтелекту, нервозності, дратівливості",93
регулярний прийом дріжджів з йодом сприяє усуненню цих проявів,93
"дріжджі пивні з калієм: для загального зміцнення організму, підвищення розумової діяльності",93
"калій є життєво важливим елементом, що сприяє підтриманню осмотичної концентрації крові, кислотно",93
"лужного балансу, нормалізації водного балансу і забезпеченню мембранного потенціалу, активізації ферментної системи",93
"дріжджі з калієм сприяють нормалізації функцій нервової системи, м’язової активності, поліпшенню роботи серцево",93
"судинної системи, мозкової діяльності, покращенню обміну речовин",93
прийом дріжджів з калієм запобігає наслідкам прийому сечогінних препаратів,93
"дріжджі пивні з кальцієм та залізом: для загального зміцнення організму, при підвищених фізичних і психоемоційних навантаженнях",93
"сприяють росту і нормальній діяльності м’язів, формуванню здорової кісткової тканини і зубів, продукуванню червоних і білих кров’яних тілець, підвищенню опору організму захворюванням і стомлюваності",93
"використовуються як профілактичний засіб при залізодефіцитній анемії, алергії, карієсі, пародонтозі, травмах кісток",93
"дріжджі пивні з кальцієм та магнієм: для загального зміцнення організму, при підвищених фізичних і психоемоційних перевантаженнях",93
"судинної системи, забезпечує міцність кісткової тканини, є найважливішим компонентом системи згортання крові, проявляє антиоксидантний ефект",93
"використовується як профілактичний засіб при карієсі, пародонтозі, остеопорозі, травмах кісток, алергії, підвищеному нервовому напруженні, депресивних станах",93
"дріжджі пивні з кальцієм, магнієм та залізом: джерело кальцію, магнію та заліза, з метою нормалізації психоемоційного стану та профілактики анемій",93
"надає нормалізуючу дію на стан нервової системи, сприяють росту і нормалізації діяльності м’язів, підвищенню опору організму захворюванням і стомлюваності",93
"використовуються як профілактичний засіб при залізодефіцитній анемії, як додатковий засіб при алергії, карієсі, пародонтозі, остеопорозі, травмах кісток",93
"дріжджі пивні з кальцієм, магнієм та цинком: для загального зміцнення організму і профілактики травмування кісток, при підвищених фізичних і психічних навантаженнях",93
"судинної системи, забезпечує міцність кісткової тканини, є найважливішим компонентом системи згортання крові, надає антиоксидантний ефект",93
"цинк необхідний для нормального росту волосся і нігтів, для підтримки шкіри в здоровому стані",93
"проявляє детоксикаційні властивості, захищає печінку від несприятливих хімічних впливів",93
"використовуються як профілактичний засіб при залізодефіцитній анемії, в якості додаткової терапії при алергії, карієсі, пародонтозі, остеопорозі, травмах кісток, рекомендуються для поліпшення стану волосся, шкіри, нігтів",93
"дріжджі пивні з кальцієм: джерело кальцію, сприяють росту і нормалізації діяльності м’язів",93
"кальцій є одним з найважливіших мінералів для людського організму, сприяє формуванню кісткової системи та зубів, підтриманню ясен у здоровому стані",93
"необхідний для нормальної скоротності серцевого м’яза, передачі нервових імпульсів, сприяє зниженню рівня холестерину в крові і попередженню серцево",93
"судинних захворювань, бере участь в процесі згортання крові, захищає кістки і зуби від негативного впливу свинцю, зменшує його всмоктування в організм",93
"застосовуються при карієсі, пародонтозі, алергічних проявах, травмах кісток",93
дріжджі пивні з ламінарією: додаткове джерело природного йоду,93
"чудовий профілактичний засіб для нормалізації обміну речовин і функції щитовидної залози, регуляції енергетичного обміну, діяльності серцево",93
дріжджі пивні з магнієм: для загального зміцнення організму і поліпшення психоемоційного стану,93
"магній надає нормалізуючу дію на стан нервової системи, проявляє судинорозширюючий ефект, сприяє запобіганню кальцифікації м’яких тканин, стимулює перистальтику кишечника і виділення жовчі, сприяє зниженню рівня холестерину в крові, є антистресовим елементом",93
"в організмі є універсальним постачальником енергії в живі клітини, бере участь у всіх етапах синтезу білка",93
дріжджі пивні з мумійо: джерело вітамінів гр,93
"в, мінералів, для підвищення імунітету",93
"завдяки наявності в мумійо біологічних стимуляторів і великої кількості мікроелементів прискорюється регенерація тканин, тому мумійо широко застосовується при переломах, ранах, опіках і обмороженнях, а також при лікуванні нирок і печінки, сечового міхура",93
"під дією мумійо підвищується здатність печінки знешкоджувати токсини, зростає її білково",93
синтезуюча функція,93
при токсичних і травматичних ушкодженнях печінки мумійо стимулює її регенерацію,93
"дріжджі пивні з плодами розторопші: для зміцнення організму, покращення функціонування печінки і жовчного міхура",93
розторопша містить рідкісну біологічно активну речовину,93
силимарин,93
"крім того, в ній присутні такі мікроелементи як цинк, мідь, селен, вся група жиророзчинних вітамінів, квертецин, поліненасичені жирні кислоти, деякі амінокислоти, флаволігнани",93
"всього близько 200 біохімічних компонентів, чим обумовлено багатобічне вживання розторопші",93
силимарин (комплекс флавонолігнанів,93
силібінін та ін,93
"має виражену гепатопротекторну (захищаючу) і відновлюючу клітини печінки дію, надає антиоксидантний, детоксикуючий (знешкоджує токсини і отрути) ефект",93
"силимарин перешкоджає проникненню в клітини печінки отруйних речовин і розкладає інші отрути перш, ніж вони почнуть робити свій згубний вплив",93
"це єдина відома на сьогоднішній день природна сполука, що захищає клітини печінки і відновлює її функції",93
"дріжджі пивні з селеном: джерело селену, для загального зміцнення організму і нормалізації діяльності щитовидної залози",93
"селен, будучи антиоксидантом, захищає тканини від руйнівної дії вільних радикалів, що утворюються в процесі життєдіяльності організму",93
"прийом дріжджів з селеном сприяє запобіганню утворенню вільних радикалів, зниження впливу токсичних речовин, нормалізації функції печінки при алкогольній залежності",93
"дріжджі пивні з сіркою: для загального зміцнення організму, при підвищених фізичних і психоемоційних навантаженнях",93
в організмі людини сірка виконує незамінні функції,93
"захищає клітини, тканини від окиснення, весь організм",93
від токсичного впливу чужорідних речовин,93
"є неодмінною складовою частиною клітин, ферментів, гормонів, зокрема інсуліну, що виробляється підшлунковою залозою, і сірковмісних амінокислот",93
"багато сірки міститься в нервових і сполучних тканинах, а також в кістках",93
дуже важливою властивістю сірки є її детоксикаційна дія на організм,93
дріжджі пивні з цинком: для покращення обміну речовин і підвищення опору організму стресам,93
"рекомендуються для прискорення процесу загоєння ран і утворення нових клітин в ураженій тканині, нормалізації рівня цукру в крові, зниження відкладень холестерину, при набряках ніг",93
"застосовуються в комплексному лікуванні захворювань передміхурової залози, варикозному розширенні вен, безплідді",93
проявляють антиоксидантні властивості,93
"дріжджі пивні з чебрецем: для загального зміцнення організму, для покращення травлення",93
"можуть застосовуватися в комплексній терапії при катарі верхніх дихальних шляхів, сухому і спастичному кашлі, особливо при коклюші, хронічному бронхіті, бронхіальній астмі, запаленні легень",93
дріжджі пивні з чорницею: для нормалізації діяльності органу зору,93
плоди чорниці,93
"багате джерело вітамінів, мінералів та інших необхідних організму речовин",93
"допомагають зберегти гостроту зору, здатність бачити в темряві, зміцнюють стінки судин, тим самим знижують ризик розвитку серцево",93
дріжджі пивні з ехінацеєю: для підвищення імунітету і нормалізації процесу обміну речовин,93
ехінацея,93
"потужний природний стимулятор імунітету, має помірні протизапальні властивості",93
"можуть використовуватися як допоміжний засіб при захворюваннях, пов’язаних з ослабленням імунної системи, викликаних хронічними запальними захворюваннями, впливом іонізуючої радіації, уф",93
"променів, хіміотерапевтичних препаратів, тривалої терапії антибіотиками",93
застосовуються з профілактичною метою при перших ознаках застуди,93
"дріжджі пивні з янтарною кислотою: для загального зміцнення організму, для підтримки фізичної активності та уповільнення процесів передчасного старіння",93
"регулярний прийом дріжджів с янтарною кислотою сприяє стимуляції роботи нервової системи, нормалізації діяльності нирок і кишечника",93
"людей, які регулярно вживають пивні дріжджі з янтарною кислотою, не залишає почуття бадьорості, свіжості, підвищеної активності",93
"у них завжди добре самопочуття, відсутня слабкість, безсоння і неприємні відчуття в області серця",93
бурштинова кислота має ще одну чудову властивість: вона нейтралізує алкоголь в крові,93
"дріжджі пивні хондроетин + глюкозамін: для підвищення імунітету, нормалізації процесів обміну речовин, покращення роботи суглобів",93
"присутність у комплексі глюкозаміну і хондоїтину сприяє відновленню хрящової тканини, покращенню утворення внутрішньосуглобової рідини, зниженню м’язової стомлюваності, зміцненню сполучної тканини",93
рекомендуються при підвищених фізичних навантаженнях,93
"регулярне застосування дріжджів з хондроетином і глюкозаміном допомагає поліпшити якість життя хворих, які багато років страждають від різних захворювань суглобів і хребта",93
"дріжджі пивні чиста шкіра: для загального зміцнення організму, профілактики виникнення вугрів і поліпшення стану шкіри",93
"лікарська трава череда, що входить до складу дріжджів, здавна застосовується для лікування шкірних захворювань, проявляючи протимікробні та протизапальні властивості",93
будь,91
ускладнені інфекції сечовивідних шляхів (включаючи пієлонефрит,90
гонорея,90
зменшення ризику виникнення інсульту,90
період вагітності або годування груддю,89
порушення функції нирок,88
інфекційно,88
внутрішньочеревні інфекції,87
якого типу,87
запобігання серцево,85
протипоказання підвищена чутливість до компонентів лікарського засобу,84
тяжка печінкова недостатність,84
для полегшення відтоку секрету при захворюваннях придаткових пазух носа,84
"ефірна олія аїру: має заспокійливу, протизапальну, антиоксидантну, тонізуючу і дезодоруючу дію",84
"рекомендовано для профілактики облисіння, запальних процесів ротової порожнини",84
надає заспокійливу дію на центральну нервову систему,84
"ефірна олія анісу: застосовують при застудних і запальних захворюваннях, що стосуються системи органів дихання, усуває непродуктивний кашель",84
має жарознижуючу дію,84
"рекомендовано для догляду за зів’ялою, обвислою шкірою, підвищує її тургор, пружність, нормалізує водно",84
жировий баланс епідермісу,84
має антисептичні властивості,84
"ефірна олія апельсина: має антивірусну, протизапальну, спазмолітичну, жовчогінну, заспокійливу і відбілюючу дію",84
"рекомендовано в якості потужного антицелюлітного засобу, підвищує пружність, вітамінізує, захищає суху шкіру, стимулює регенерацію, сприяє оновленню шкіри",84
допомагає при сухій шкірі та мозолях,84
робить волосся здоровим і сильним,84
ефективно знімає депресію,84
"ефірна олія бергамоту: ефірна олія бергамоту має чудові антисептичні, противірусні, протизапальні й антигрибкові властивості",84
"застосовується для догляду за проблемною юнацької шкірою, лікування вугрів",84
ефірна олія бергамоту усуває запальні процеси і подразнення шкіри,84
"нормалізує секрецію сальних і потових залоз на жирних ділянках шкіри, тонізує, звужує пори, вирівнює тон пігментованих ділянок",84
сприяє зменшенню себореї шкіри голови,84
використовується в якості дезодоранту для порожнини рота,84
"ефірна олія валеріани: має протизапальну і бактерицидну дію, проявляє легкий знеболюючий ефект, знижує гіперчутливість шкіри",84
ефірна олія валеріани є одним з найсильніших засобів при захворюваннях шкіри,84
застосовується для зменшення підвищеної чутливості шкіри та її реакції на зовнішні чинники,84
"ефективна як допоміжний засіб при нейродермітах, стресових висипах, лущенні шкіри",84
"ефірна олія валеріани діє заспокійливо, знімає почуття тривоги і страху, сприяє нормалізації сну і надає загальнозміцнюючу дію на організм",84
"ефірна олія ванілі: має відбілюючу, розслаблюючу, заспокійливу і легку тонізуючу дію, надає м’якість шкірі",84
загальновизнаний афродизіак,84
"рекомендовано для підвищення еластичності шкіри, сприяє усуненню подразнень і нервових висипів",84
сприяє полегшенню передменструального синдрому у жінок,84
"аромат ванілі заспокоює, нормалізує сон",84
"ефірна олія вербени: має антисептичну, дезодоруючу, дезінфікуючу властивість",84
надає інсектицидну дію,84
рекомендовано для догляду за жирною проблемною шкірою,84
"гарний тонізуючий засіб, сприяє омолодженню і розгладженню шкіри, усуненню пітливості і вугрових висипів, регенерації тканини після гематом, розтягнень, переломів",84
сприяє нормалізації психоемоційного стану,84
"ефірна олія гвоздики: ефірна олія гвоздики має сильну ранозагоювальну, антисептичну, протизапальну, спазмолітичну і стимулюючу дію",84
має високу антибактеріальну і противірусну активність,84
сприяє стимуляції розумової активності,84
допомагає відновити сили після нервового і фізичного напруження,84
"сприяє усуненню гнійничкових, вугрових уражень шкіри і фурункульозу",84
"ефірна олія герані: ефірна олія має болезаспокійливу, антисептичну, загоюючу і розслаблюючу дію",84
"рекомендується для догляду за жирною, подразненою шкірою, шкірою з акне",84
"сприяє усуненню висипів, регенерації шкіри після опіків і обморожень, використовується при лікуванні застуди, респіраторних захворювань, ангіни, тонзиліту",84
надає позитивний вплив на психоемоційний стан людини,84
"ефірна олія грейпфруту: має дезінфікуючу, антисептичну, бактерицидну, очищуючу дію",84
"покращує кровообіг, тонізує лімфатичну систему і сприяє процесам виведення токсичних речовин і шлаків з організму",84
"знімає набряк тканин, розслаблює напружені та втомлені м’язи, тонізує, заспокоює головний біль і служить профілактичним засобом від депресивних станів",84
"ефірна олія грейпфруту рекомендується для покращення секреції і дренажних функцій сальних залоз, освітлення і відбілювання жирної шкіри",84
"чудово очищує і тонізує шкіру, перешкоджає утворенню камедонів",84
"олія грейпфруту відновлює природну секрецію при жирному волоссі, підвищує тонус волосся, при тривалому використанні усуває його підвищене забруднення і склеювання",84
"ця олія чудово зміцнює і живить волосся, надає йому здоровий і блискучий вигляд",84
"ефірна олія ялини: має дезодоруючу, протизапальну, бактерицидну дію",84
рекомендовано використовувати в лікувально,84
"профілактичних косметичних засобах для усунення синців, гематом, подряпин, ран, для профілактики і лікування застудних захворювань, бронхіту, трахеїту, пневмонії, ларингіту",84
"ефірна олія ялини допомагає при депресії, неврозі, психічному перевантаженні",84
"застосовується для зменшення пітливості, при випадінні волосся, лупі",84
"ефірна олія жасмину: має антисептичну, протизапальну дію, проявляє зволожуючий і заспокійливий ефекти",84
"рекомендується для догляду за тонкою, чутливою і втомленою шкірою",84
ефірна олія жасмину сприяє запобіганню виникнення дерматитів,84
"допомагає при застудних захворюваннях, головному болі, безсонні",84
"стабілізує стан при нервовому напруженні, хронічному стресі",84
"ілангу: рекомендується для роздратованою, пошкодженої і жирної шкіри",84
"стимулює ріст нових клітин в глибоких шарах епідермісу, перешкоджає його передчасному старінню",84
ілангу стимулює кровообіг в капілярах і чудово живить шкіру,84
"сприяє закріпленню та збереженню засмаги, усуває подразнення шкіри після прийому сонячних ванн",84
надовго дезодорує і ароматизує шкіру,84
"корисна для догляду за волоссям, особливо ослабленим і пошкодженим",84
"ефірна олія імбиру: має сильну антисептичну, антибактеріальну, противірусну дію",84
проявляє відбілюючий ефект,84
"ефірна олія імбиру рекомендується для усунення запальних реакцій на проблемній шкірі, сприяє підвищенню тонусу жирної шкіри, очищенню і звуженню розширених пор, відновленню душевних і фізичних сил",84
ефірна олія ісопу: ефірна олія ісопу проявляє чудові антисептичні та бактерицидні властивості,84
"має седативний, очищуючий і загою",84
чий ефект,84
"рекомендовано як допоміжний засіб при гнійничкових і вугрових висипах на шкірі, порізах, ранах, гематомах, екземі",84
використовується в комплексній терапії при захворюваннях органів дихання,84
"бронхітах, трахеїтах, пневмоніях, ларингітах",84
"ефірна олія кедру: проявляє сильні антисептичні, фунгіцидні, дезінфікуючі властивості",84
"має протисвербіжний, загоюючий і омолоджуючий ефект",84
рекомендовано для догляду за шкірою будь,84
"допомагає при нейродерміті, екземі, грибкових ураженнях шкіри",84
"знімає подразнення, сприяє швидкому загоєнню ран",84
ефірна олія кедра допоможе надовго зберегти молодість шкіри,84
"при регулярному застосуванні олії зміцнюється волосся, зменшується його випадіння",84
"ефірна олія кедру покращує роботу органів дихання, полегшує стан при бронхіті, пневмонії",84
"корисна при запаленнях суглобів, ревматизмі, остеохондрозі, покращує кровообіг",84
"ефірна олія кипарису: має спазмолітичну дію при бронхіті, приносить полегшення при нападах кашлю, проявляє сильний в’яжучий ефект, використовується для усунення набряків",84
"ефірна олія кипарису рекомендується для догляду за тонкою, чутливою шкірою, для профілактики акне",84
"сприяє нормалізації роботи жирових залоз, застосовується в комплексних програмах боротьби з целюлітом",84
"зміцнює волосся, сприяє його росту",84
відновлює емоційну рівновагу при роздратованості,84
як допоміжний засіб застосовується при катарах верхніх дихальних шляхів,84
"ефірна олія коріандру: має чудові знеболюючі, протизапальні, антисептичні, бактерицидні та фунгіцидні властивості",84
"надає спазмолітичний і загоюючий ефект, тонізуючу дію на організм",84
ефірна олія коріандру рекомендується для догляду за проблемною шкірою,84
використовується як допоміжний засіб при катарах верхніх дихальних шляхів,84
"сприяє усуненню болю при невралгії, подагрі, артриті, ревматизмі",84
"ефірна олія кориці: ефірна олія кориці надає антисептичну, протизапальну і болезаспокійливу дію",84
"розслаблює і зігріває тіло, пом’якшує шкіру",84
хороший ароматизатор,84
"рекомендовано для усунення надмірної блідості шкіри, як допоміжний засіб при корості, для усунення синців",84
ефірна олія лаванди: ефірна олія лаванди має чудовий набір корисних для людського організму властивостей,84
"надає протиопікову, противірусну, антисептичну, регенеруючу, противірусну, болезаспокійливу і заспокійливу дію",84
знімає бронхоспазм,84
"підсилює опір організму до перевтоми, викликає підвищену розумову активність, знімає нервову напругу",84
рекомендовано в лікувально,84
"косметичних засобах для застосування в комплексній терапії при опіках, гнійних ранах, виразках, пролежнях",84
як протизапальний засіб використовується для гігієни статевих органів,84
є ефективним засобом від молі та для ароматизації приміщення,84
"ефірна олія лавру: має антисептичну, бактерицидну, фунгіцидну дію",84
надає хорошу седативну дію,84
"зміцнює нервову систему, сприяє нормалізації сну",84
"ефірна олія лавру рекомендується як допоміжний засіб для профілактики різного виду інфекцій, при шкірних захворюваннях, ранах, виразках, пролежнях, гіпергідрозах",84
"ефірна олія ладану: має антисептичну, бактерицидну, заспокійливу і омолоджуючу дію",84
"сприятливо впливає на дихальні шляхи, зменшує задишку, полегшує стан хворих на астму",84
"ефірна олія ладану рекомендується для догляду за сухою і старіючою шкірою, омолоджує клітини епідермісу, видаляє зморшки, усуває подразнення шкіри",84
регулює психоемоційний стан,84
ефірна олія лайму: надає знеболюючий ефект при ревматизмі,84
"ефірна олія лайму є хорошим тонізуючим засобом, проявляє антисептичний, противірусний і бактерицидний ефект",84
"має виражений загоюючий, відновлюючий і тонізуючий ефекти",84
"рекомендовано для омолодження і регенерації шкіри, усунення зморшок",84
сприяє відбілюванню шкіри,84
"використовується для зняття набряків і втоми ніг, для покращення кровообігу м’язів при фізичних навантаженнях і ревматичних болях",84
"ефірна олія лимону: рекомендовано для догляду за жирною шкірою, допомагає впоратися з бактеріально",84
"вірусним висипом, усуває дрібні зморшки і судинний малюнок, ефективно відбілює шкіру, пом’якшує огрубілі її ділянки",84
"усуває ламкість волосся і нігтів, надає їм здоровий блиск",84
ефірну олію лимону використовують як засіб проти ожиріння,84
"ця олія стабілізує і тонізує нервову систему, усуває депресію, покращує концентрацію уваги і пам’ять",84
"ефірна олія майорану: має антиоксидантні, антисептичні, бактерицидні властивості",84
"має виражений знеболюючий і загоюючий ефекти, надає відхаркувальну дію",84
"ефірна олія майорану рекомендується як допоміжний засіб при застудах і ларингіті, для усунення симптомів морської хвороби, неприємного запаху порожнини рота",84
"ефірна олія мандарину: ефірна олія мандарину має гарні антисептичні, протизапальні, заспокійливі властивості, попереджає появу стрій шкіри",84
"рекомендовано для профілактики гнійничкових і вугрових висипів, грибкових уражень шкіри",84
"є ефективним засобом при безсонні, стресах, перевтомі",84
забезпечує прекрасне самопочуття при дефіциті сонця взимку,84
допомагає при целюліті,84
"ефірна олія меліси: ефірна олія меліси має чудові бактерицидні, антивірусні, протиалергічні властивості",84
проявляє заспокійливий і антидепресивний ефект,84
є хорошим ароматизатором,84
"рекомендовано як допоміжний засіб при порушеннях сну, безсонні, меланхолії, страсі, зниженні пам’яті",84
олія сприяє нормалізації психоемоційного стану,84
"ефірна олія мири: має протизапальну, протиалергічну, антимікробну дію",84
виявляє антисептичну та освіжаючу дію,84
ефірна олія мири рекомендується для догляду за шкірою,84
"використовується в засобах для запобігання виникнення тріщин шкіри, екзем, ран, появи зморшок",84
перешкоджає випадінню волосся,84
ефірна олія мирту: ефірна олія мирту має виражені протиалергічні та протизудні властивості,84
надає оздоровчу та протизапальну дію,84
"зміцнює клітини епідермісу, підвищує захисніта дихальні властивості шкіри",84
"рекомендовано для догляду за жирною шкірою, при вугрових висипах",84
"використовується як допоміжний засіб при захворюваннях органів дихання (астмі, бронхіті, кашлі, туберкульозі",84
є ефективним протизапальним засобом при укусах комах,84
"ефірна олія ялівцю: ялівець має сильну антисептичну, протизапальну, знеболюючу дію",84
сприяє загоєнню саден і ран,84
рекомендується для догляду за будь,84
"якою шкірою при млявості, висипах, дерматитах, целюліті, сприяє підвищенню еластичності судин",84
"використовується при артритах, артрозах, остеохондрозі",84
"ефірна олія мускатного горіха: мускатний горіх має регенеруючі, омолоджуючі, зміцнюючі клітини шкіри властивості",84
"має виражений знеболюючий, протинабряковий ефект",84
"рекомендовано для омолодження, усунення в’ялості та зміцнення клітин шкіри",84
"стимулює кровообіг, зігріває м’язи, суглоби і зв’язки",84
"сприяє усуненню болю, набряків, запалення при артритах, міозитах, остеохондрозі, невритах",84
нормалізує роботу мозку,84
"ефірна олія м’яти: ефірна олія м’яти має гарні антисептичні, освіжаючі, омолоджуючі властивості",84
усуває неприємний запах з порожнини рота,84
хороший ароматизатор і засіб від укусів комах,84
"рекомендовано при застудах, як жарознижуючий, пом’якшуючий і протизапальний засіб при ларингіті",84
усуває симптоми морської хвороби,84
"знімає запалення при карієсі, стоматиті",84
"ефірна олія неролі: ефірна олія неролі має виражений седативний ефект, надає антисептичну, знеболюючу та спазмолітичну дію, зміцнює судини, покращує кровообіг і діяльність серцево",84
"рекомендовано для пожвавлення, омолодження шкіри, розгладження зморшок, як допоміжний засіб при тріщинах на шкірі, екземі, вугрових і герпетичних висипах",84
"ефірна олія пальмарози: ефірна олія пальмарози відновлює сили після хвороби, адаптує до зовнішніх умов життя, сприяє збільшенню концентрації уваги, поліпшенню пам’яті",84
