Назва препарату,Показання_clean
Алерік Нео (Aleric Neo),"Для усунення симптомів, пов’язаних з алергічним ринітом, таких як чхання, виділення із носа, свербіж, набряк та закладеність носа, а також свербіж та почервоніння очей, сльозотеча, свербіж піднебіння та кашель. Для усунення симптомів, пов’язаних із кропив'янкою, таких як свербіж та висипи. Для усунення симптомів, пов’язаних з алергічним ринітом, таких як чхання, виділення із носа, свербіж, набряк та закладеність носа, а також свербіж та почервоніння очей, сльозотеча, свербіж піднебіння та кашель. Для усунення симптомів, пов’язаних із кропив'янкою, таких як свербіж та висипи. Для усунення симптомів, пов’язаних з алергічним ринітом, таких як чхання, виділення із носа, свербіж, набряк та закладеність носа, а також свербіж та почервоніння очей, сльозотеча, свербіж піднебіння та кашель. Для усунення симптомів, пов’язаних із кропив'янкою, таких як свербіж та висипи. Підвищена чутливість до дезлоратадину або будь-якого допоміжного компонента препарату або лоратадину"
Алерон (Aleron),"симптоматичне лікування алергічного риніту (у тому числі цілорічного алергічного риніту) та кропив’янки. симптоматичне лікування алергічного риніту (у тому числі цілорічного алергічного риніту) та кропив’янки. симптоматичне лікування алергічного риніту (у тому числі цілорічного алергічного риніту) та кропив’янки. Застосування Алерон препарат призначати дорослим та дітям віком від 6 років внутрішньо у добовій дозі 5 мг 1 раз на добу. Приймати таблетку незалежно від прийому їжі. Таблетку необхідно ковтати цілою, запиваючи невеликою кількістю води. Хворим літнього віку з нормальною функцією нирок корекція дози препарату не потрібна. Пацієнтам із порушеною функцією нирок розрахунок дози необхідно проводити з урахуванням кліренсу креатиніну відповідно до таблиці. Для застосування цієї таблиці дозування необхідно оцінити кліренс креатиніну пацієнта у мл/хв. Кліренс креатиніну має бути оцінений за вмістом креатиніну в сироватці крові (мг/дл) за допомогою наступної формули: [140 – вік (роки)] · маса тіла (кг) (· 0,85 для жінок) ————————————————————— 72 креатинін сироватки крові (мг/дл) Корекція дози препарату у хворих із порушеною функцією нирок: Функція нирок Кліренс креатиніну, мл/хв Доза і кількість прийомів Нормальна ≥80 5 мг 1 раз на добу Порушення легкого ступеня 50–79 5 мг 1 раз на добу Порушення помірного ступеня 30–49 5 мг 1 раз на 2 доби Порушення тяжкого ступеня 4 діб на тиждень та протягом більше 4 тиж) у період контакту з алергенами пацієнту можна запропонувати постійну терапію. При хронічних захворюваннях (хронічний алергічний риніт, хронічна кропив’янка) тривалість лікування становить до 1 року (дані доступні з клінічних досліджень при застосуванні рацемату)"
Алєндра (Alendra ),"лікування постменопаузального остеопорозу. Препарат знижує ризик переломів хребта та стегнової кістки. лікування постменопаузального остеопорозу. Препарат знижує ризик переломів хребта та стегнової кістки. лікування постменопаузального остеопорозу. Препарат знижує ризик переломів хребта та стегнової кістки. Застосування Алєндра рекомендована доза: 1 таблетка 70 мг 1 раз на тиждень. Оптимальна тривалість лікування остеопорозу бісфосфонатами не встановлена. Рішення про необхідність продовження лікування алендронатом натрію приймає лікар індивідуально для кожного пацієнта на підставі періодичної оцінки співвідношення користь/ризик (особливо через 5 та більше років застосування препарату). Таблетку необхідно приймати з водою щонайменше за 30 хв до першого прийому їжі, напою або інших лікарських засобів. Інші напої (включаючи мінеральну воду), їжа і деякі лікарські препарати можуть сприяти зменшенню всмоктування алендронату натрію (див. ВЗАЄМОДІЯ З ІНШИМИ ЛІКАРСЬКИМИ ЗАСОБАМИ). Щоб полегшити потрапляння препарату у шлунок і таким чином зменшити його подразнювальний вплив на слизову оболонку ротової порожнини, глотки та стравоходу, необхідно: - приймати препарат, запиваючи склянкою води (не менше 200 мл), вранці після пробудження; - не розжовувати таблетку через можливість виникнення виразок ротової порожнини та глотки; - перший денний прийом їжі — лише через 30 хв після прийому таблетки; - після прийому таблеток пацієнтам не слід лежати щонайменше 30 хв; - препарат не можна приймати перед сном або до ранкового підйому з ліжка. Інтервал між прийомом алендронату та інших ліків, які приймають внутрішньо, повинен становити як мінімум 30 хв. Додатково необхідно приймати кальцій та вітамін D, якщо прийому цих речовин з їжею недостатньо. Слід приймати препарат в один і той самий день тижня. При випадковому пропуску прийому препарату необхідно прийняти 1 таблетку вранці наступного дня. Надалі продовжувати прийом як звичайно — наступну таблетку застосовувати в той день, який був обраний для прийому із самого початку лікування (див. ). Застосування пацієнтам літнього віку. Немає необхідності в корекції дози для хворих літнього віку. Ниркова недостатність. Для хворих, кліренс креатиніну у яких >35 мл/хв, немає необхідності в корекції дози. Хворим, кліренс креатиніну в яких <35 мл/хв, прийом алендронату не рекомендується у зв’язку з відсутністю досвіду застосування препарату для лікування таких пацієнтів. Не досліджувалася дія препарату при лікуванні остеопорозу, спричиненого кортикостероїдами. Діти . Не застосовувати у дітей віком до 18 років"
Алзепіл (Alzepil ),"симптоматичне лікування хвороби Альцгеймера легкого або середнього ступеня тяжкості. симптоматичне лікування хвороби Альцгеймера легкого або середнього ступеня тяжкості. симптоматичне лікування хвороби Альцгеймера легкого або середнього ступеня тяжкості. Застосування Алзепіл дорослі пацієнти та пацієнти літнього віку . Лікування починати з дози 5 мг/добу (прийом 1 раз на добу). Алзепіл потрібно приймати внутрішньо ввечері, безпосередньо перед сном. Дози 5 мг/добу слід дотримуватися протягом щонайменше 1 міс, щоб забезпечити якомога більш ранню клінічну відповідь на лікування за результатами оцінки та досягти рівноважної концентрації донепезилу гідрохлориду. Після клінічної оцінки лікування препаратом у дозі 5 мг/добу протягом 1 міс дозу донепезилу можна підвищити до 10 мг/добу (прийом 1 раз на добу). Максимальна рекомендована добова доза становить 10 мг. Дози, що перевищують 10 мг/добу, у клінічних дослідженнях не вивчали. Лікування слід розпочинати і продовжувати під контролем лікаря, який має досвід діагностики деменції альцгеймерівського типу і лікування таких пацієнтів. Захворювання необхідно діагностувати відповідно до загальноприйнятих рекомендацій (наприклад, DSM IV або ICD 10 — Міжнародна класифікація хвороб, 10-й випуск). Терапію донепезилом можна розпочинати тільки у тому випадку, коли є особа, яка доглядає за хворим і буде постійно контролювати прийом таблеток пацієнтом. Підтримувальне лікування можна продовжувати, поки пацієнт отримує терапевтичну користь. Таким чином, клінічну ефективність донепезилу слід регулярно оцінювати. Якщо доказів терапевтичного ефекту більше не спостерігається, необхідно розглянути питання щодо відміни препарату. Індивідуальну відповідь на донепезил спрогнозувати неможливо. При відміні лікування спостерігається поступове зменшення сприятливого ефекту донепезилу. Порушення функції нирок та печінки Для пацієнтів з порушеною функцією нирок можна дотримуватися тієї ж схеми дозування, оскільки кліренс донепезилу гідрохлориду не зазнає змін при цьому стані. Через можливе зростання експозиції при легкій чи помірній печінковій недостатності підвищення дози слід проводити залежно від індивідуальної переносимості препарату. Дані щодо пацієнтів з тяжкою печінковою недостатністю відсутні. Діти . Алзепіл не рекомендується застосовувати дітям віком до 18 років, оскільки безпеку застосування препарату дітям не вивчали"
Алімта (Alimta),"Злоякісна мезотеліома плеври. Алімта в комбінації з цисплатином показана для лікування пацієнтів зі злоякісною нерезектабельною плевральною мезотеліомою. Недрібноклітинний рак легенів. Алімта в комбінації з цисплатином показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у першій лінії хіміотерапії. Алімта як монотерапія показана для підтримуючого лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів, у яких не було прогресування захворювання після хіміотерапії препаратами платини. Алімта як монотерапія показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у другій лінії хіміотерапії. Злоякісна мезотеліома плеври. Алімта в комбінації з цисплатином показана для лікування пацієнтів зі злоякісною нерезектабельною плевральною мезотеліомою. Недрібноклітинний рак легенів. Алімта в комбінації з цисплатином показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у першій лінії хіміотерапії. Алімта як монотерапія показана для підтримуючого лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів, у яких не було прогресування захворювання після хіміотерапії препаратами платини. Алімта як монотерапія показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у другій лінії хіміотерапії. Злоякісна мезотеліома плеври. Алімта в комбінації з цисплатином показана для лікування пацієнтів зі злоякісною нерезектабельною плевральною мезотеліомою. Недрібноклітинний рак легенів. Алімта в комбінації з цисплатином показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у першій лінії хіміотерапії. Алімта як монотерапія показана для підтримуючого лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів, у яких не було прогресування захворювання після хіміотерапії препаратами платини. Алімта як монотерапія показана для лікування хворих на місцеворозповсюджений або метастатичний недрібноклітинний неплоскоклітинний рак легенів у другій лінії хіміотерапії. Підвищена чутливість до діючої речовини або до будь-якої з допоміжних речовин препарату. Період годування груддю. Супутнє застосування вакцини проти жовтої лихоманки"
Алітер (Aliter),"АГ; — серцева недостатність; — запобігання виникненню повторного інсульту у пацієнтів із цереброваскулярними захворюваннями; — запобігання серцево-судинним ускладненням у пацієнтів з документально підтвердженою стабільною ІХС. Довготривале лікування знижує ризик виникнення інфаркту міокарда та серцевої недостатності (за результатами дослідження EUROPA). — АГ; — серцева недостатність; — запобігання виникненню повторного інсульту у пацієнтів із цереброваскулярними захворюваннями; — запобігання серцево-судинним ускладненням у пацієнтів з документально підтвердженою стабільною ІХС. Довготривале лікування знижує ризик виникнення інфаркту міокарда та серцевої недостатності (за результатами дослідження EUROPA). — АГ; — серцева недостатність; — запобігання виникненню повторного інсульту у пацієнтів із цереброваскулярними захворюваннями; — запобігання серцево-судинним ускладненням у пацієнтів з документально підтвердженою стабільною ІХС. Довготривале лікування знижує ризик виникнення інфаркту міокарда та серцевої недостатності (за результатами дослідження EUROPA). Застосування Алітер для перорального застосування. Таблетки не підлягають поділу. Таблетки рекомендовано приймати 1 раз на добу вранці перед їдою. Дозу підбирати індивідуально, залежно від показників АТ (див. ). АГ . Периндоприлу терт-бутиламін можна призначати як монотерапію або в комбінації з препаратами інших класів антигіпертензивних засобів. Рекомендована початкова доза становить 4 мг 1 раз на добу вранці. У пацієнтів з високою активністю ренін-ангіотензин-альдостеронової системи (РААС) (особливо пацієнти з реноваскулярною гіпертензією, порушенням водно-електролітного балансу, серцевою декомпенсацією або тяжкою АГ) може надмірно знижуватися АТ після прийому першої дози. Таким пацієнтам рекомендується розпочинати лікування з дози 2 мг (застосовувати інший лікарський засіб у відповідній дозі) та початок терапії проводити під наглядом лікаря. Дозу можна підвищити до 8 мг 1 раз на добу через 1 міс лікування. На початку застосування периндоприлу терт-бутиламіну можливе виникнення симптоматичної артеріальної гіпотензії; це імовірніше для пацієнтів, які одночасно приймають діуретики. Таким хворим розпочинати лікування периндоприлом слід з обережністю, оскільки у них може виникати дефіцит води та/або солі. Якщо це можливо, слід припинити прийом діуретика за 2–3 дні до початку терапії периндоприлу терт-бутиламіном (див. ). Пацієнтам з АГ, для яких не можна припинити застосування діуретиків, лікування слід розпочинати з дози 2 мг (застосовувати інший лікарський засіб у відповідному дозуванні). У таких пацієнтів слід контролювати функцію нирок та рівень калію в сироватці крові. Подальше підвищення дози периндоприлу терт-бутиламіну слід здійснювати залежно від показників АТ. У разі необхідності терапію діуретиком можна відновити. Пацієнтам літнього віку лікування слід розпочинати з дози 2 мг (застосовувати інший лікарський засіб у відповідній дозі), яка може бути підвищена до 4 мг через 1 міс лікування, а потім, у разі необхідності, до 8 мг з урахуванням функції нирок (див. таблицю). Серцева недостатність . Пацієнтам із серцевою недостатністю, яким периндоприлу терт-бутиламін зазвичай слід призначати одночасно з діуретиком, що виводить калій, та/або дигоксином, та/або β-блокатором, лікування рекомендовано розпочинати під ретельним медичним наглядом та з початкової дози 2 мг (застосовувати інший лікарський засіб у відповідному дозуванні), яку слід приймати вранці. Через 2 тиж за умови хорошої переносимості дозу підвищувати до 4 мг 1 раз на добу. Дозу підбирати індивідуально, залежно від клінічного стану пацієнта. Пацієнтам із тяжкою серцевою недостатністю та іншим пацієнтам із групи високого ризику (пацієнти з порушеннями функції нирок та тенденцією до порушень рівня електролітів, хворі, які отримують одночасно терапію діуретиками та/або вазодилататорами) лікування слід розпочинати під ретельним медичним наглядом (див. ). У пацієнтів з високим ризиком виникнення симптоматичної артеріальної гіпотензії, а саме — у хворих із дефіцитом електролітів, з гіпонатріємією або без неї, пацієнтів із гіповолемією або тих, хто отримував інтенсивну терапію діуретиками, слід провести корекцію вищезазначених станів, якщо можливо, до призначення препарату. АТ, функцію нирок та рівень калію в сироватці крові потрібно ретельно контролювати як до, так і під час лікування (див. ). Запобігання виникненню повторного інсульту у пацієнтів з цереброваскулярними захворюваннями . Рекомендована початкова доза становить 2 мг (застосовувати інший лікарський засіб у відповідній дозі) 1 раз на добу, вранці. Після 2 тиж лікування дозу підвищувати до 4 мг 1 раз на добу, вранці. Якщо після 2 тиж лікування препаратом Алітер пацієнт потребує додаткового контролю АТ, можна призначити індапамід у дозі 1 таблетка на добу. Лікування можна розпочинати будь-коли у термін від 2 тиж до кількох років після первинного інсульту. Запобігання серцево-судинним ускладненням у пацієнтів з документально підтвердженою стабільною ІХС. Лікування розпочинати з 4 мг 1 раз на добу, вранці. Через 2 тиж за умови хорошої переносимості та з урахуванням функції нирок дозу підвищувати до 8 мг. Пацієнтам літнього віку лікування слід розпочинати з дози 2 мг (застосовувати інший лікарський засіб у відповідній дозі) 1 раз на добу, вранці; через тиждень дозу підвищувати до 4 мг; через 2 тиж з урахуванням функції нирок дозу підвищувати до 8 мг, як зазначено в таблиці нижче. Підвищення дози можливе тільки за умови хорошої переносимості попередньої дози. Особливі групи пацієнтів . Дозування для пацієнтів з нирковою недостатністю має базуватися на даних щодо кліренсу креатиніну, як зазначено в таблиці нижче. Підбір доз при нирковій недостатності Кліренс креатиніну (мл/хв) Рекомендоване дозування Cl CR ≥60 4 мг на добу 30<Cl CR <60 2 мг (застосовувати інший лікарський засіб у відповідній дозі) на добу 15<Cl CR <30 2 мг (застосовувати інший лікарський засіб у відповідній дозі) через добу Пацієнти, які перебувають на гемодіалізі Cl CR <15 2 мг (застосовувати інший лікарський засіб у відповідній дозі) на добу проведення діалізу Діалізний кліренс периндоприлату — 70 мл/хв. Пацієнтам, які перебувають на гемодіалізі, дозу слід приймати після проведення гемодіалізу. Пацієнти з печінковою недостатністю . Пацієнти з печінковою недостатністю не потребують підбору дози препарату (див. Фармакокінетика та )"
Алкарніт (Alcarnit),
Алкарніт розчин для ін’єкцій (Alcarnit solution for injection ),"для невідкладного та тривалого лікування пацієнтів із вродженим порушенням метаболізму, що призводить до вторинного дефіциту карнітину. Для профілактики і лікування дефіциту карнітину у пацієнтів з термінальною стадією ниркової недостатності, які проходять діаліз. для невідкладного та тривалого лікування пацієнтів із вродженим порушенням метаболізму, що призводить до вторинного дефіциту карнітину. Для профілактики і лікування дефіциту карнітину у пацієнтів з термінальною стадією ниркової недостатності, які проходять діаліз. для невідкладного та тривалого лікування пацієнтів із вродженим порушенням метаболізму, що призводить до вторинного дефіциту карнітину. Для профілактики і лікування дефіциту карнітину у пацієнтів з термінальною стадією ниркової недостатності, які проходять діаліз. Застосування Алкарніт розчин для ін єкцій Алкарніт вводиться в/в повільно протягом 2–3 хв. Метаболічні порушення Рекомендована доза становить 50 мг/кг у вигляді повільної болюсної ін’єкції протягом 2–3 хв або інфузії. Часто пацієнтам з тяжким метаболічним кризом дається навантажувальна доза, за якою необхідна еквівалентна доза протягом наступних 24 год. Препарат слід вводити шляхом інфузії або внутрішньовенної ін’єкції кожні 3 або 4 год і ні в якому разі не менше ніж через 6 год. Рекомендується, щоб всі наступні добові дози знаходилися в діапазоні 50 мг/кг або залежно від терапевтичної необхідності. Максимально допустима доза становить 300 мг/кг. Рекомендовано, щоб концентрація карнітину в плазмі крові була досягнута до початку цієї парентеральної терапії. Також рекомендовано щотижневий і щомісячний моніторинг. Цей моніторинг повинен включати біохімічний аналіз крові, показники життєво важливих функцій, показники концентрації карнітину в плазмі крові (концентрація вільного карнітину в плазмі крові повинна становити від 35 до 60 мкмоль/л) і загальний клінічний стан. Пацієнти з ТНН на гемодіалізі Рекомендована початкова доза становить 10-20 мг/кг маси тіла у вигляді повільної 2–3-хвилинної болюсної ін’єкції у венозну систему кровообігу після кожного сеансу діалізу. Початок терапії може бути обумовлений мінімальними (до діалізу) концентраціями левокарнітину в плазмі крові, які нижче норми (40-50 мкмоль/л). Необхідно проводити корекцію дози на підставі показників концентрації левокарнітину (до діалізу), а корекцію дози в бік зниження (наприклад, до 5 мг/кг після діалізу) можна проводити вже на третьому або четвертому тижні терапії. Гемодіаліз — підтримувальна терапія Після насичувального курсу в/в введення препарату застосовувати підтримувальну дозу — 1 г левокарнітину на добу перорально. У день діалізу левокарнітин застосовувати внутрішньовенно у дозі 1 г одразу після завершення чергового сеансу. Алкарніт сумісний і стабільний при змішуванні з розчинами для парентерального введення 0,9% хлориду натрію або лактату Рінгера в концентраціях від 250 мг/500 мл (0,5 мг/мл) до 4200 мг/500 мл (8,0 мг/мл). Діти . Препарат застосовувати дітям з першого дня життя, в тому числі недоношеним"
Алкеран (Alkeran),Множинна мієлома; пізні стадії аденокарциноми яєчників; карцинома молочної залози: мелфалан окремо або у комбінації з іншими препаратами має значний терапевтичний ефект у пацієнтів на пізніх стадіях раку молочної залози; істинна поліцитемія. Множинна мієлома; пізні стадії аденокарциноми яєчників; карцинома молочної залози: мелфалан окремо або у комбінації з іншими препаратами має значний терапевтичний ефект у пацієнтів на пізніх стадіях раку молочної залози; істинна поліцитемія. Множинна мієлома; пізні стадії аденокарциноми яєчників; карцинома молочної залози: мелфалан окремо або у комбінації з іншими препаратами має значний терапевтичний ефект у пацієнтів на пізніх стадіях раку молочної залози; істинна поліцитемія. Гіперчутливість до діючої речовини або до будь-якої допоміжної речовини. Годування груддю
Алкодез ІС (Alcodez IC),"зменшення вираженості токсичної дії алкоголю. Гостра алкогольна інтоксикація (легкої та середньої тяжкості). Алкогольний абстинентний синдром. Хронічний алкоголізм. Комплексна терапія хвороб печінки, особливо алкогольної етіології. зменшення вираженості токсичної дії алкоголю. Гостра алкогольна інтоксикація (легкої та середньої тяжкості). Алкогольний абстинентний синдром. Хронічний алкоголізм. Комплексна терапія хвороб печінки, особливо алкогольної етіології. зменшення вираженості токсичної дії алкоголю. Гостра алкогольна інтоксикація (легкої та середньої тяжкості). Алкогольний абстинентний синдром. Хронічний алкоголізм. Комплексна терапія хвороб печінки, особливо алкогольної етіології. Застосування Алкодез ІС препарат призначають дорослим внутрішньо. Для зменшення вираженості токсичної дії алкоголю : 2 таблетки за 30–60 хв до вживання алкоголю або 1 таблетка за 30–60 хв до вживання алкоголю та 1 таблетка протягом 30 хв після вживання алкоголю. При гострій алкогольній інтоксикації легкої та середньої тяжкості, алкогольному абстинентному синдромі : по 1 таблетці 2 рази на добу за 15–30 хв до прийому їжі, дозу можна підвищити до 3 таблеток на добу. Курс терапії — 3–7 днів залежно від стану хворого. При комплексній терапії хвороб печінки та хронічному алкоголізмі : по 1 таблетці 2 рази на добу за 15–30 хв до прийому їжі. Максимальна добова доза — 3 таблетки. Курс терапії — не менше 90 діб. Діти . Не слід застосовувати у дітей через відсутність досвіду застосування в цій віковій групі"
Алксоїд (полімеризований екстракт алергену) (Alxoid (polymerized extract allergen)),"Лікарський засіб АЛКСОЇД (полімеризований екстракт алергену) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Лікарський засіб АЛКСОЇД (полімеризований екстракт алергену) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Лікарський засіб АЛКСОЇД (полімеризований екстракт алергену) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Гіперчутливість до компонентів лікарського засобу ( . Одночасне застосування β-блокаторів. Підвищена температура тіла (понад 38,5 °С). Активні інфекційні захворювання (вірусний гепатит, туберкульоз, пневмонія, мононуклеоз тощо). Синдром набутого імунодефіциту (СНІД). Незадовільно контрольована або частково контрольована бронхіальна астма. У разі наявності у пацієнта активних інфекційних захворювань (пневмонія, гепатит, мононуклеоз тощо) початок лікування препаратом потрібно відкласти, поки інфекція не буде вилікувана. Будь-яке аутоімунне системне захворювання: імунодефіцит або злоякісне захворювання. Період вагітності. В особливих застереженнях та запобіжних заходах при застосуванні препаратів алергенів немає потреби. Будь-які рештки невикористаного лікарського засобу або його відходи потрібно утилізувати відповідно до місцевих вимог"
Алксоїд (суміш полімеризованих екстрактів алергенів) (Alxoid (mixture of polymerized extracts of allergens)),"Лікарський засіб АЛКСОЇД (суміш полімеризованих екстрактів алергенів) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Лікарський засіб АЛКСОЇД (суміш полімеризованих екстрактів алергенів) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Лікарський засіб АЛКСОЇД (суміш полімеризованих екстрактів алергенів) показаний для проведення алергеноспецифічної імунотерапії при лікуванні алергічного риніту, ринокон’юнктивіту. Імунотерапію можна проводити дорослим і дітям віком від 5 років. Гіперчутливість до компонентів лікарського засобу ( . Одночасне застосування β-блокаторів. Підвищена температура тіла (понад 38,5 °С). Активні інфекційні захворювання (вірусний гепатит, туберкульоз, пневмонія, мононуклеоз тощо). Синдром набутого імунодефіциту (СНІД). Незадовільно контрольована або частково контрольована бронхіальна астма. У разі наявності у пацієнта активних інфекційних захворювань (пневмонія, гепатит, мононуклеоз тощо) початок лікування препаратом потрібно відкласти, поки інфекція не буде вилікувана. Будь-яке аутоімунне системне захворювання: імунодефіцит або злоякісне захворювання. Період вагітності. В особливих застереженнях та запобіжних заходах при застосуванні препаратів алергенів немає потреби. Будь-які рештки невикористаного лікарського засобу або його відходи потрібно утилізувати відповідно до місцевих вимог"
