Назва препарату,Протипоказання_clean
АЛФАВІТ 50+ (ALFAVIT 50+),
АЛФАВІТ ДИТЯЧИЙ САДОК (ALFAVIT CHILDREN'S KINDERGARTEN),
АЛФАВІТ ДІАБЕТ (ALFAVIT DIABETES),
АЛФАВІТ ДЛЯ ЧОЛОВІКІВ (ALFAVIT FOR MEN),
АЛФАВІТ КЛАСІК (ALFAVIT CLASSIC),
АЛФАВІТ КОСМЕТИК (ALFAVIT COSMETIC),
АЛФАВІТ МАМА (ALFAVIT MAMA),
АЛФАВІТ У СЕЗОН ЗАСТУД (ALFAVIT IN THE SEASON OF CLOSURE),
АЛФАВІТ ШКОЛЯР (ALFAVIT SCHOOLCHILD),
Алфірум (Alfirum),"Підвищена чутливість до альфузозину або до інших компонентів препарату. Ортостатична гіпотензія; комбінація з іншими альфа-блокаторами; печінкова недостатність; хронічна ниркова недостатність (кліренс креатиніну < 30 мл/хв). Дитячий вік. Підвищена чутливість до альфузозину або до інших компонентів препарату. Ортостатична гіпотензія; комбінація з іншими альфа-блокаторами; печінкова недостатність; хронічна ниркова недостатність (кліренс креатиніну < 30 мл/хв). Дитячий вік. Підвищена чутливість до альфузозину або до інших компонентів препарату. Ортостатична гіпотензія; комбінація з іншими альфа-блокаторами; печінкова недостатність; хронічна ниркова недостатність (кліренс креатиніну < 30 мл/хв). Дитячий вік. Препарат призначений виключно чоловікам! Рекомендована доза становить 1 таблетку 10 мг щодня. Застосовують відразу після їди. Таблетки необхідно ковтати цілими. Хворого слід попередити, що таблетки не можна розкушувати, розжовувати, подрібнювати або розтирати у порошок. Подрібнювання таблеток може призвести до швидкого вивільнення та всмоктування діючої речовини препарату та внаслідок цього — до швидкої появи побічних ефектів препарату"
Алфлутоп (Alflutop),"протипоказаний при підвищеній чутливості до будь-якого компонента препарату. протипоказаний при підвищеній чутливості до будь-якого компонента препарату. протипоказаний при підвищеній чутливості до будь-якого компонента препарату. Побічна дія рідко: зміни у місці введення, у тому числі відчуття печіння у місці ін’єкції, почервоніння шкіри. У поодиноких випадках: скороминуще посилення больового синдрому (при внутрішньосуглобовому введенні внаслідок активації метаболізму та інтенсифікації кровообігу), короткочасна міалгія. Також відзначали випадки реакції гіперчутливості, у тому числі висипання, дерматит, кропив’янку, відчуття свербежу, ангіоневротичний набряк, анафілактичний шок"
Альба (Alba),"індивідуальна непереносимість компонентів, період вагітності та годування грудьми. індивідуальна непереносимість компонентів, період вагітності та годування грудьми. індивідуальна непереносимість компонентів, період вагітності та годування грудьми. Умови зберігання в оригінальній упаковці в сухому, захищеному від світла та недоступному для дітей місці за температури не вище 25 °С"
Альбела (Albela),"гіперчутливість до альбендазолу або будь-якого компонента препарату. Період вагітності та годування грудьми. Жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. гіперчутливість до альбендазолу або будь-якого компонента препарату. Період вагітності та годування грудьми. Жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. гіперчутливість до альбендазолу або будь-якого компонента препарату. Період вагітності та годування грудьми. Жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. Побічна дія побічні ефекти, що виникають при короткостроковому лікуванні кишкових інфекцій та шкірного синдрому Larva Migrans. З боку імунної системи : реакції гіперчутливості, включаючи висипання, свербіж та кропив’янку. З боку нервової системи : головний біль, запаморочення. З боку ШКТ : симптоми з боку верхніх відділів ШКТ (наприклад, епігастральний біль, нудота, блювання), діарея. З боку гепатобіліарної системи : підвищення рівня печінкових ферментів. З боку шкіри та підшкірної клітковини : поліморфна еритема, синдром Стівенса–Джонсона. Побічні ефекти, що виникають при довготривалому лікуванні системних гельмінтних інфекцій. З боку системи крові та лімфатичної системи : лейкопенія, панцитопенія, апластична анемія, агранулоцитоз. Пацієнти із захворюванням печінки, включаючи печінковий ехінококоз, більш схильні до пригнічення кісткового мозку (див. ЗАСТОСУВАННЯ та ). З боку імунної системи : реакції гіперчутливості, включаючи висипання, свербіж та кропив’янку. З боку нервової системи : головний біль, запаморочення. З боку ШКТ : симптоми з боку верхніх відділів шлунково-кишкового тракту (наприклад, епігастральний біль, нудота, блювання), діарея. Ці явища пов’язані з лікуванням альбендазолом хворих з ехінококозом. З боку гепатобіліарної системи : підвищення рівня печінкових ферментів від легкого до помірного ступеня, гепатит. З боку шкіри та підшкірної клітковини : поліморфна еритема, синдром Стівенса–Джонсона, оборотна алопеція (потоншання волосся та помірна втрата волосся). Загальні розлади : гарячка"
Альбендазол (Albendazole),"Підвищена чутливість до альбендазолу, інших похідних бензилідазолів, до інших компонентів лікарського засобу. Захворювання сітківки ока. Період вагітності та годування груддю. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Підвищена чутливість до альбендазолу, інших похідних бензилідазолів, до інших компонентів лікарського засобу. Захворювання сітківки ока. Період вагітності та годування груддю. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Підвищена чутливість до альбендазолу, інших похідних бензилідазолів, до інших компонентів лікарського засобу. Захворювання сітківки ока. Період вагітності та годування груддю. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Альбендазол індукує ферменти системи цитохрому Р450. При одночасному застосуванні з циметидином, празиквантелом та дексаметазоном можливе підвищення рівня метаболітів альбендазолу у плазмі крові, що може спричинити його . Лікарські засоби, що можуть незначно зменшувати ефективність альбендазолу: протисудомні препарати (наприклад, фенітоїн, фосфенітоїн, карбамазепін, фенобарбітал, примідон), левомізол, ритонавір. Ефективність лікування пацієнтів слід контролювати — може виникнути необхідність у альтернативних дозових режимах або терапії. Грейпфрутовий сік також підвищує рівень сульфоксиду альбендазолу у плазмі крові. Через можливе порушення активності цитохрому Р450 існує теоретичний ризик взаємодії з такими препаратами: пероральними контрацептивами, антикоагулянтами, пероральними цукрознижувальними засобами, теофіліном. При одночасному застосуванні альбендазолу з теофіліном слід контролювати рівень теофіліну в крові. Одночасний прийом лікарського засобу та жирної їжі призводить до збільшення всмоктування альбендазолу з травного тракту"
Альбендазол-Фармекс (Albendazole-Pharmex),"Гіперчутливість до альбендазолу або до будь-якого допоміжного компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано застосовувати жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Гіперчутливість до альбендазолу або до будь-якого допоміжного компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано застосовувати жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Гіперчутливість до альбендазолу або до будь-якого допоміжного компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано застосовувати жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Альбендазол індукує ферменти системи цитохрому Р450. Лікарські засоби, що можуть незначно зменшувати ефективність альбендазолу: протисудомні препарати (наприклад, фенітоїн, фосфенітоїн, карбамазепін, фенобарбітал, примідон), левомізол, ритонавір. Ефективність лікування пацієнтів слід контролювати — можуть потребуватися альтернативні дозові режими або терапія. Циметидин, празиквантел і дексаметазон підвищують плазмові рівні метаболіту альбендазолу, який відповідає за системну активність лікарського засобу, що, у свою чергу, може спричинити посилення побічних реакцій. Грейпфрутовий сік також підвищує рівень сульфоксиду альбендазолу у плазмі крові. Через можливе порушення активності цитохрому Р450 існує теоретичний ризик взаємодії з такими препаратами: пероральними контрацептивами, антикоагулянтами, пероральними цукрознижувальними засобами, теофіліном"
Альбензі суспензія оральна (Albenzee oral suspension ),"Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Побічна дія З боку травного тракту та печінки : стоматит, сухість у роті, печія, нудота, блювання, біль у животі, метеоризм, діарея, запор, транзиторне підвищення активності печінкових ферментів, жовтяниця, гепатит, гепатоцелюлярні порушення. З боку серцево-судинної системи : підвищення артеріального тиску, тахікардія. З боку ЦНС та периферичної нервової системи : безсоння або сонливість, головний біль, запаморочення, сплутаність свідомості, дезорієнтація, галюцинації, судоми, зниження гостроти зору. З боку системи крові та лімфатичної системи : лейкопенія; нейтропенія; тромбоцитопенія; анемія, включаючи апластичну анемію; агранулоцитоз, панцитопенія. Пацієнти з захворюванням печінки, включаючи печінковий ехінококоз, більш схильні до пригнічення кісткового мозку. З боку шкіри та підшкірної клітковини : шкірні висипання, гіперемія, поліморфна еритема, синдром Стівенса – Джонсона, оборотна алопеція, дерматит, набряк. З боку нирок та сечовидільної системи : порушення функції нирок, гостра ниркова недостатність, протеїнурія. Алергічні реакції : реакції гіперчутливості, включаючи висипання; свербіж; кропив’янка; пухирчатка; дерматит; гарячка. Загальні розлади : біль у кістках, горлі; пропасниця; слабкість. Пацієнти із захворюваннями печінки, включаючи печінковий ехінококоз, більш схильні до пригнічення кісткового мозку"
Альбензі таблетки (Albenzee tablets ),"Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Підвищена чутливість до альбендазолу, інших похідних бензимідазолів, до інших компонентів препарату. Захворювання сітківки ока. Період вагітності та годування груддю. Планування вагітності. Період тривалістю в один менструальний цикл перед запланованою вагітністю. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 місяця після лікування препаратом. Фенілкетонурія. Альбендазол індукує ферменти системи цитохрому Р450. При одночасному застосуванні з циметидином, празиквантелом та дексаметазоном можливе підвищення рівня метаболітів альбендазолу у плазмі крові, що відповідає за системну активність препарату, що, у свою чергу, може спричинити його . Лікарські засоби, що можуть незначно зменшувати ефективність альбендазолу: протисудомні препарати (наприклад фенітоїн, фосфенітоїн, карбамазепін, фенобарбітал, примідон), левомізол, ритонавір. Ефективність лікування пацієнтів слід контролювати, можуть бути потрібні альтернативні дозові режими або терапія. Грейпфрутовий сік також підвищує рівень сульфоксиду альбендазолу у плазмі крові. Через можливе порушення активності цитохрому Р450 існує теоретичний ризик взаємодії з такими препаратами: пероральні контрацептиви, антикоагулянти, пероральні цукрознижувальні засоби, теофілін. При одночасному застосуванні альбендазолу з теофіліном слід контролювати рівень теофіліну в крові. Одночасний прийом лікарського засобу та жирної їжі призводить до збільшення всмоктування альбендазолу з травного тракту ("
Альбувен,Підвищена чутливість до препаратів альбуміну або будь-якої з допоміжних речовин. Підвищена чутливість до препаратів альбуміну або будь-якої з допоміжних речовин. Підвищена чутливість до препаратів альбуміну або будь-якої з допоміжних речовин. Специфічні взаємодії альбуміну людини з іншими лікарськими засобами невідомі
Альбунорм розчин для інфузій (Albunorm solution for infusion ),"Підвищена чутливість до білкових препаратів крові або до будь-якої з допоміжних речовин. Підвищена чутливість до білкових препаратів крові або до будь-якої з допоміжних речовин. Підвищена чутливість до білкових препаратів крові або до будь-якої з допоміжних речовин. Специфічні взаємодії альбуміну людини з іншими лікарськими препаратами невідомі. При одночасному застосуванні альбуміну з інгібіторами АПФ (ангіотензинперетворювальний фермент) у пацієнтів, які отримують плазмаферез, ризик артеріальної гіпотензії збільшується"
Альгеріка (Algerika),
Альгімакс (Algimax),"Лікарський засіб протипоказаний пацієнтам з відомою або підозрюваною гіперчутливістю до діючих речовин або до будь-якої з допоміжних речовин, в тому числі метилпарагідроксибензоату (Е 218) і пропілпарагідроксибензоату (Е 216). Лікарський засіб протипоказаний пацієнтам з відомою або підозрюваною гіперчутливістю до діючих речовин або до будь-якої з допоміжних речовин, в тому числі метилпарагідроксибензоату (Е 218) і пропілпарагідроксибензоату (Е 216). Лікарський засіб протипоказаний пацієнтам з відомою або підозрюваною гіперчутливістю до діючих речовин або до будь-якої з допоміжних речовин, в тому числі метилпарагідроксибензоату (Е 218) і пропілпарагідроксибензоату (Е 216). У зв’язку з наявністю у складі лікарського засобу карбонату кальцію, який діє як антацид, необхідно витримувати двогодинний інтервал між прийомом Альгімаксу й іншими лікарськими засобами, особливо Н 2 -антигістамінами, тетрациклінами, дигоксином, фторхінолоном, солями заліза, кетаконазолом, нейролептиками, тироксином, пеніциламіном, бета-блокаторами (атенолол, метопролол, пропанолол), глюкокортикоїдами, хлорохіном, дифосфонатами та естрамустином"
Альгозан (Algozan),"Підвищена чутливість до диклофенаку або до інших компонентів препарату, ниркова недостатність, порушення кровотворення; наявність ерозивно-виразкових уражень шлунково-кишкового тракту. Наявність в анамнезі нападів бронхіальної астми, кропив’янки або гострого риніту, зумовлених прийомом ацетилсаліцилової кислоти або інших НПЗЗ. Препарат протипоказаний у період вагітності або годування груддю. Підвищена чутливість до диклофенаку або до інших компонентів препарату, ниркова недостатність, порушення кровотворення; наявність ерозивно-виразкових уражень шлунково-кишкового тракту. Наявність в анамнезі нападів бронхіальної астми, кропив’янки або гострого риніту, зумовлених прийомом ацетилсаліцилової кислоти або інших НПЗЗ. Препарат протипоказаний у період вагітності або годування груддю. Підвищена чутливість до диклофенаку або до інших компонентів препарату, ниркова недостатність, порушення кровотворення; наявність ерозивно-виразкових уражень шлунково-кишкового тракту. Наявність в анамнезі нападів бронхіальної астми, кропив’янки або гострого риніту, зумовлених прийомом ацетилсаліцилової кислоти або інших НПЗЗ. Препарат протипоказаний у період вагітності або годування груддю. При застосуванні гелю не можна одночасно наносити на ту саму ділянку шкіри інші лікарські засоби. Диклофенак, що міститься у препараті, потенціює специфічні ефекти пероральних засобів із групи НПЗЗ при їх одночасному застосуванні, також ульцерогенну дію кортикостероїдів; підвищує концентрацію дигоксину та літію у крові; послаблює дію сечогінних засобів і салуретиків групи тіазиду та фуросеміду. Терапевтична ефективність при застосуванні гелю із саліцилатами знижується, при цьому посилюється ульцерогенна дія на слизову оболонку шлунка. При одночасному застосуванні з коагулянтами та антикоагулянтами слід контролювати стан системи згортання крові. Оскільки Альгозан містить есцин у складі каштану кінського насіння екстракту сухого, його не застосовують у комбінації з препаратами, що гальмують овуляцію"
Альдазол (Aldazole),"гіперчутливість до альбендазолу або будь-якого компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. гіперчутливість до альбендазолу або будь-якого компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. гіперчутливість до альбендазолу або будь-якого компонента лікарського засобу. Період вагітності та годування груддю. Протипоказано жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та протягом 1 міс після лікування препаратом. Побічна дія побічні ефекти, що виникають при короткотерміновому лікуванні кишкових інфекцій та шкірного синдрому Larva Migrans . З боку імунної системи : реакції гіперчутливості, включаючи висип, свербіж та кропив’янку. З боку нервової системи : головний біль та запаморочення. З боку ШКТ : симптоми з боку верхніх відділів ШКТ (наприклад епігастральний біль, нудота, блювання) та діарея. З боку гепатобіліарної системи : підвищення рівня печінкових ферментів. З боку шкіри та підшкірної тканини : поліморфна еритема, синдром Стівенса — Джонсона. Побічні ефекти, що виникають при довготривалому лікуванні системних гельмінтних інфекцій З боку системи крові та лімфатичної системи : лейкопенія, панцитопенія, апластична анемія, агранулоцитоз. Пацієнти із захворюванням печінки, включаючи печінковий ехінококоз, більш схильні до пригнічення кісткового мозку (див. ЗАСТОСУВАННЯ та ). З боку імунної системи : реакції гіперчутливості, включаючи висип, свербіж та кропив’янку. З боку нервової системи : головний біль, запаморочення. З боку ШКТ : гастроінтестинальні порушення (біль у животі, нудота, блювання). Ці явища пов’язані з лікуванням альбендазолом хворих з ехінококозом. З боку гепатобіліарної системи : підвищення рівня печінкових ферментів від легкого до помірного ступеня, гепатит. З боку шкіри та підшкірної тканини : зворотна алопеція (стоншання волосся та помірна втрата волосся), поліморфна еритема, синдром Стівенса — Джонсона. Загальні розлади : лихоманка"
Альдуразим (Aldurazyme),"Реакція гіперчутливості тяжкого ступеня (наприклад анафілактична реакція) на діючу речовину або будь-яку з допоміжних речовин ( . Реакція гіперчутливості тяжкого ступеня (наприклад анафілактична реакція) на діючу речовину або будь-яку з допоміжних речовин ( . Реакція гіперчутливості тяжкого ступеня (наприклад анафілактична реакція) на діючу речовину або будь-яку з допоміжних речовин ( . Дослідження щодо вивчення лікарських взаємодій препарату не проводилися. З огляду на особливості метаболізму ларонідази лікарські взаємодії, опосередковані цитохромом Р450, видаються малоймовірними. Не можна застосовувати лікарський засіб Альдуразим одночасно з хлорохіном або прокаїном через потенційний ризик їхнього впливу на внутрішньоклітинне захоплення ларонідази"
